"filename", "language", "Python", "Markdown", "JavaScript", "JavaScript React", "CSS", "SCSS", "HTML", "JSON", "pip requirements", "comment", "blank", "total"
"c:\Users\rahim\Desktop\hospital\frontend\src\css\style.scss", "SCSS", 0, 0, 0, 0, 0, 981, 0, 0, 0, 4, 119, 1104
"c:\Users\rahim\Desktop\hospital\frontend\src\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 4, 16
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Activate.jsx", "JavaScript React", 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 8, 36
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\ActiveBranch.jsx", "JavaScript React", 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 23, 172
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Add.jsx", "JavaScript React", 0, 0, 0, 150, 0, 0, 0, 0, 0, 6, 32, 188
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Branch.jsx", "JavaScript React", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\FindPage.jsx", "JavaScript React", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 23, 170
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Index.jsx", "JavaScript React", 0, 0, 0, 249, 0, 0, 0, 0, 0, 15, 47, 311
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Information.jsx", "JavaScript React", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 9, 124
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\PatientPage.jsx", "JavaScript React", 0, 0, 0, 276, 0, 0, 0, 0, 0, 5, 47, 328
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Personal.jsx", "JavaScript React", 0, 0, 0, 41, 0, 0, 0, 0, 0, 45, 9, 95
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Signin.jsx", "JavaScript React", 0, 0, 0, 78, 0, 0, 0, 0, 0, 8, 20, 106
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Signup.jsx", "JavaScript React", 0, 0, 0, 84, 0, 0, 0, 0, 0, 3, 30, 117
"c:\Users\rahim\Desktop\hospital\frontend\src\pages\Visitor.jsx", "JavaScript React", 0, 0, 0, 85, 0, 0, 0, 0, 0, 3, 13, 101
"c:\Users\rahim\Desktop\hospital\frontend\tailwind.config.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 0, 10
"c:\Users\rahim\Desktop\hospital\telegramBot\config.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\Users\rahim\Desktop\hospital\telegramBot\handlers\admin.py", "Python", 129, 0, 0, 0, 0, 0, 0, 0, 0, 23, 20, 172
"c:\Users\rahim\Desktop\hospital\telegramBot\handlers\user.py", "Python", 205, 0, 0, 0, 0, 0, 0, 0, 0, 34, 28, 267
"c:\Users\rahim\Desktop\hospital\telegramBot\keyboards\kb.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 39
"c:\Users\rahim\Desktop\hospital\telegramBot\loader.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\rahim\Desktop\hospital\telegramBot\main.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\rahim\Desktop\hospital\telegramBot\state\default_state.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"Total", "-", 1289, 316, 434, 1669, 598, 981, 29, 28866, 34, 279, 1138, 35633
